ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
153,7,21,BTS,3,BigHit Entertainment,Gars,Groupe,Boy with luv,2019,Non,Halsey,4.75,4.5,4.63
154,7,22,Everglow,4,Yuehua Entertainment,Fille,Groupe,La di da,2020,Non,Non,7.25,6.25,6.75
155,8,1,Psy,2,YG Entertainment,Gars,Solo,Gangnam style,2012,Non,Non,4.25,7.25,5.75
156,8,2,Stray Kids,4,JYP Entertainment,Gars,Groupe,Christmas EveL,2021,Non,Non,8.0,8.0,8.0
157,8,3,Twice,3,JYP Entertainment,Fille,Groupe,Fancy,2019,Non,Non,4.25,8.5,6.38
158,8,4,BTS,3,BigHit Entertainment,Gars,Groupe,Blood sweat & tears,2016,Non,Non,5.25,9.0,7.13
159,8,5,Treasure,4,YG Entertainment,Gars,Groupe,Hello,2022,Non,Non,6.0,6.0,6.0
160,8,6,BlackPink,3,YG Entertainment,Fille,Groupe,Pretty Savage,2020,Non,Non,6.0,7.0,6.5
161,8,7,TXT,4,BigHit Entertainment,Gars,Groupe,Crown,2019,Non,Non,5.0,7.75,6.38
162,8,8,SHINee,2,SM Entertainment,Gars,Groupe,Ring ding dong,2009,Non,Non,1.25,9.5,5.38
163,8,9,Le Sserafim,4,Source Music,Fille,Groupe,Crazy,2024,Non,Non,3.5,7.5,5.5
164,8,10,BTS,3,BigHit Entertainment,Gars,Groupe,Run BTS,2022,Non,Non,5.5,7.5,6.5
165,8,11,Red Velvet,3,SM Entertainment,Fille,Groupe,Zimzalabim,2019,Non,Non,2.0,6.75,4.38
166,8,12,Stray Kids,4,JYP Entertainment,Gars,Groupe,Double knot,2019,Non,Non,7.75,6.75,7.25
167,8,13,Ateez,4,KQ Entertainment,Gars,Groupe,Guerrilla,2022,Non,Non,9.25,7.5,8.38
168,8,14,Aespa,4,SM Entertainment,Fille,Groupe,Next level,2021,Non,Non,5.75,6.0,5.88
169,8,15,NCT U,4,SM Entertainment,Gars,Groupe,Boss,2018,Non,Non,3.0,9.5,6.25
170,8,16,Super junior,2,SM Entertainment,Gars,Groupe,Mamacita,2014,Non,Non,3.5,6.5,5.0
171,8,17,Iz*one,4,Off The Record Entertainment,Fille,Groupe,Panorama,2020,Non,Non,4.5,7.0,5.75
172,8,18,BTS,3,BigHit Entertainment,Gars,Groupe,My universe,2021,Non,Coldplay,6.0,4.0,5.0
173,8,19,Seventeen,3,Pledis Entertainment,Gars,Groupe,God of music,2023,Non,Non,5.0,6.75,5.88
174,8,20,NewJeans,4,ADOR,Fille,Groupe,Hype boy,2022,Non,Non,2.0,7.0,4.5
175,8,21,Stray Kids,4,JYP Entertainment,Gars,Groupe,Case 143,2022,Non,Non,8.5,7.0,7.75
176,8,22,Enhypen,4,Belift Lab,Gars,Groupe,Polaroid love,2022,Non,Non,4.75,8.0,6.38
177,9,1,TXT,4,BigHit Entertainment,Gars,Groupe,Deja vu,2024,Non,Non,5.25,5.5,5.38
178,9,2,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Oh my god,2020,Non,Non,4.75,10.0,7.38
179,9,3,Stray Kids,4,JYP Entertainment,Gars,Groupe,Charmer,2022,Non,Non,10.0,6.5,8.25
180,9,4,Pentagon,3,CUBE Entertainment,Gars,Groupe,Shine,2018,Non,Non,5.75,10.0,7.88
181,9,5,BlackPink,3,YG Entertainment,Fille,Groupe,Lovesick girls,2020,Non,Non,6.25,7.75,7.0
182,9,6,BTS,3,BigHit Entertainment,Gars,Groupe,Boy in luv,2014,Non,Non,5.5,9.5,7.5
183,9,7,Nmixx,4,JYP Entertainment,Fille,Groupe,O.O,2022,Non,Non,5.0,5.5,5.25
184,9,8,B.A.P,2,TS Entertainment,Gars,Groupe,Young. wild & free,2015,Non,Non,5.5,6.5,6.0
185,9,9,Stray Kids,4,JYP Entertainment,Gars,Groupe,Venom,2022,Non,Non,5.75,6.75,6.25
186,9,10,NewJeans,4,ADOR,Fille,Groupe,Ditto,2022,Non,Non,1.75,7.5,4.63
187,9,11,Enhypen,4,Belift Lab,Gars,Groupe,Given-Taken,2020,Non,Non,6.5,8.25,7.38
188,9,12,BTS,3,BigHit Entertainment,Gars,Groupe,Black swan,2020,Non,Non,4.0,7.5,5.75
189,9,13,Momoland,3,MLD Entertainment,Fille,Groupe,I'm so hot,2019,Non,Non,2.5,5.75,4.13
190,9,14,Seventeen,3,Pledis Entertainment,Gars,Groupe,Don't Wanna Cry,2017,Non,Non,5.25,10.0,7.63
191,9,15,Red Velvet,3,SM Entertainment,Fille,Groupe,Red flavor,2017,Non,Non,2.0,7.25,4.63
192,9,16,Stray Kids,4,JYP Entertainment,Gars,Groupe,I like it,2024,Non,Non,9.75,8.75,9.25
193,9,17,Got7,3,JYP Entertainment,Gars,Groupe,You calling my name,2019,Non,Non,5.0,7.5,6.25
194,9,18,Ive,4,Starship Entertainment,Fille,Groupe,After like,2022,Non,Non,4.0,4.0,4.0
195,9,19,BTS,3,BigHit Entertainment,Gars,Groupe,Dionysus,2019,Non,Non,6.5,7.0,6.75
196,9,20,Le Sserafim,4,Source Music,Fille,Groupe,Easy,2024,Non,Non,2.5,8.25,5.38
197,9,21,Ateez,4,KQ Entertainment,Gars,Groupe,Say my name,2019,Non,Non,7.75,9.5,8.63
198,9,22,Super junior,2,SM Entertainment,Gars,Groupe,Sorry sorry,2009,Non,Non,2.25,9.25,5.75
199,10,1,Fifty fifty,4,AAP Entertainment,Fille,Groupe,Cupid,2023,Non,Non,2.75,6.5,4.63
200,10,2,Stray Kids,4,JYP Entertainment,Gars,Groupe,Get lit,2023,Non,Non,7.5,6.25,6.88
201,10,3,Mamamoo,2,RBW,Fille,Groupe,Gogobebe,2019,Non,Non,5.25,10.0,7.63
202,10,4,BTS,3,BigHit Entertainment,Gars,Groupe,Jump,2018,Non,Non,6.75,7.0,6.88
203,10,5,Kep1er,4,Wake One Entertainment,Fille,Groupe,Wa da da,2022,Non,Non,3.0,6.5,4.75
204,10,6,BoyNextDoor,5,KOZ Entertainment,Gars,Groupe,Earth. Wind & Fire,2024,Non,Non,7.75,6.75,7.25
205,10,7,TXT,4,BigHit Entertainment,Gars,Groupe,Blue hour,2020,Non,Non,3.25,6.5,4.88
206,10,8,Girls' Generation,2,SM Entertainment,Fille,Groupe,The boys,2011,Non,Non,2.75,7.0,4.88
207,10,9,Ateez,4,KQ Entertainment,Gars,Groupe,The black cat Nero,2020,Non,Non,7.25,7.25,7.25
208,10,10,Stray Kids,4,JYP Entertainment,Gars,Groupe,Cheese,2021,Non,Non,7.25,6.5,6.88
209,10,11,Ive,4,Starship Entertainment,Fille,Groupe,Eleven,2021,Non,Non,4.5,5.0,4.75
210,10,12,BTS,3,BigHit Entertainment,Gars,Groupe,We are bulletproof,2013,Non,Non,4.0,7.75,5.88
211,10,13,Got7,3,JYP Entertainment,Gars,Groupe,Lullaby,2018,Non,Non,5.0,6.5,5.75
212,10,14,Everglow,4,Yuehua Entertainment,Fille,Groupe,Bon bon chocolat,2019,Non,Non,4.0,9.0,6.5
213,10,15,Jimin,3,BigHit Entertainment,Gars,Solo,Who,2024,Non,Non,9.0,7.0,8.0
214,10,16,Itzy,4,JYP Entertainment,Fille,Groupe,Dalla dalla,2019,Non,Non,4.75,7.0,5.88
215,10,17,Seventeen,3,Pledis Entertainment,Gars,Groupe,Cheers,2022,SVT Leaders,Non,2.5,8.5,5.5
216,10,18,Stray Kids,4,JYP Entertainment,Gars,Groupe,Circus,2022,Non,Non,7.25,5.5,6.38
217,10,19,BlackPink,3,YG Entertainment,Fille,Groupe,Playing with fire,2016,Non,Non,5.0,8.5,6.75
218,10,20,BTS,3,BigHit Entertainment,Gars,Groupe,DNA,2017,Non,Non,6.5,5.25,5.88
219,10,21,Aespa,4,SM Entertainment,Fille,Groupe,Girls,2022,Non,Non,6.75,6.75,6.75
220,10,22,Treasure,4,YG Entertainment,Gars,Groupe,I love you,2020,Non,Non,7.5,8.0,7.75
221,11,1,BTS,3,BigHit Entertainment,Gars,Groupe,Make it right,2019,Non,Non,4.5,9.0,6.75
222,11,2,Kiss of life,5,S2 Entertainment,Fille,Groupe,Midas touch,2024,Non,Non,4.75,6.5,5.63
223,11,3,J-Hope,3,BigHit Entertainment,Gars,Solo,Chicken noodle soup,2019,Non,Non,0.0,3.0,1.5
224,11,4,Riize,5,SM Entertainment,Gars,Groupe,Boom boom bass,2024,Non,Non,5.0,8.0,6.5
225,11,5,BlackPink,3,YG Entertainment,Fille,Groupe,Forever young,2018,Non,Non,5.75,7.25,6.5
226,11,6,TXT,4,BigHit Entertainment,Gars,Groupe,Can't you see me?,2020,Non,Non,5.0,8.0,6.5
227,11,7,BTS,3,BigHit Entertainment,Gars,Groupe,Dope,2015,Non,Non,5.75,8.75,7.25
228,11,8,Ive,4,Starship Entertainment,Fille,Groupe,Baddie,2023,Non,Non,3.25,5.25,4.25
229,11,9,Stray Kids,4,JYP Entertainment,Gars,Groupe,Levanter,2019,Non,Non,7.75,9.25,8.5
230,11,10,Ateez,4,KQ Entertainment,Gars,Groupe,Answer,2020,Non,Non,9.5,10.0,9.75
231,11,11,Wonder Girls,2,JYP Entertainment,Fille,Groupe,Be my baby,2011,Non,Non,1.0,5.75,3.38
232,11,12,Treasure,4,YG Entertainment,Gars,Groupe,King kong,2024,Non,Non,5.25,7.25,6.25
233,11,13,NCT 127,4,SM Entertainment,Gars,Groupe,Kick it,2020,Non,Non,3.25,10.0,6.63
234,11,14,Le Sserafim,4,Source Music,Fille,Groupe,Perfect night,2023,Non,Non,4.5,7.75,6.13
235,11,15,Stray Kids,4,JYP Entertainment,Gars,Groupe,Slash,2024,Non,Non,7.75,6.0,6.88
