ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Note
279,13,15,N.Flying,2,FNC Entertainment,Gars,Groupe,Oh Really,2020,Non,Non,8.0
280,13,16,BlackPink,3,YG Entertainment,Fille,Groupe,Whistle,2016,Non,Non,9.0
281,13,17,TXT,4,BigHit Entertainment,Gars,Groupe,Cat & dog,2019,Non,Non,6.0
282,13,18,Oneus,4,RBW,Gars,Groupe,Come back home,2020,Non,Non,10.0
283,13,19,Iz*one,4,Off The Record Entertainment,Fille,Groupe,La vie en rose,2018,Non,Non,9.0
284,13,20,Zerobaseone,5,WAKEONE,Gars,Groupe,In bloom,2023,Non,Non,10.0
285,13,21,Yena & Yuqi,4,/Null/,Fille,Duo,Hate Rodrigo,2023,Non,Non,4.0
286,13,22,Stray Kids,4,JYP Entertainment,Gars,Groupe,Astronaut,2019,Non,Non,9.0
287,14,1,Wendy,3,SM Entertainment,Fille,Solo,Wish you hell,2024,Non,Non,6.0
288,14,2,SuperM,4,SM Entertainment,Gars,Groupe,Jopping,2019,Non,Non,9.0
289,14,3,Monsta X,3,Starship Entertainment,Gars,Groupe,Hero,2015,Non,Non,10.0
290,14,4,Nmixx,4,JYP Entertainment,Fille,Groupe,Dash,2024,Non,Non,6.0
291,14,5,Taemin,2,SM Entertainment,Gars,Solo,Want,2019,Non,Non,10.0
292,14,6,Irene & Seulgi,3,SM Entertainment,Fille,Duo,Naughty,2020,Non,Non,8.5
293,14,7,NCT 127,4,SM Entertainment,Gars,Groupe,Fire truck,2016,Non,Non,10.0
294,14,8,Psy,2,YG Entertainment,Gars,Solo,Daddy,2015,Non,Non,8.0
295,14,9,Iz*one,4,Off The Record Entertainment,Fille,Groupe,Violeta,2019,Non,Non,9.0
296,14,10,TXT,4,BigHit Entertainment,Gars,Groupe,Tinnitus,2023,Non,Non,6.5
297,14,11,Hwa Sa,3,RBW,Fille,Solo,Na,2024,Non,Non,8.0
298,14,12,VIXX,2,Jellyfish Entertainment,Gars,Groupe,Chained up,2015,Non,Non,10.0
299,14,13,Stray Kids,4,JYP Entertainment,Gars,Groupe,Gone days,2019,Non,Non,8.5
300,14,14,Gfriend,3,Source Music,Fille,Groupe,Me gustas tu,2015,Non,Non,10.0
301,14,15,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Love and fear,2024,Non,Non,8.0
302,14,16,BlackPink,3,YG Entertainment,Fille,Groupe,Stay,2016,Non,Non,9.0
303,14,17,Exo,3,SM Entertainment,Gars,Groupe,The eve,2017,Non,Non,10.0
304,14,18,Seventeen,3,Pledis Entertainment,Gars,Groupe,Darl+ing,2022,Non,Non,10.0
305,14,19,Lisa,3,YG Entertainment,Fille,Solo,New women,2024,Non,Rosalía,8.0
306,14,20,BTS,3,BigHit Entertainment,Gars,Groupe,Just one day,2014,Non,Non,9.0
307,14,21,Ateez,4,KQ Entertainment,Gars,Groupe,Not okay,2024,Non,Non,7.5
308,14,22,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Justice,2024,Non,Non,10.0
309,15,1,MCND,4,TOP Media,Gars,Groupe,Spring,2020,Non,Non,10.0
310,15,2,Le Sserafim,4,Source Music,Fille,Groupe,Eve. psyche & the bluebeard's wife,2023,Non,Non,7.5
311,15,3,Xikers,5,KQ Entertainment,Gars,Groupe,Tricky house,2023,Non,Non,7.5
312,15,4,Everglow,4,Yuehua Entertainment,Fille,Groupe,Adios,2019,Non,Non,9.0
313,15,5,Zerobaseone,5,WAKEONE,Gars,Groupe,Good so bad,2023,Non,Non,8.0
314,15,6,Day6,3,JYP Entertainment,Gars,Groupe,Sweet chaos,2019,Non,Non,10.0
315,15,7,Chung Ha,3,MNH Entertainment,Fille,Solo,Snapping,2019,Non,Non,10.0
316,15,8,Pentagon,3,CUBE Entertainment,Gars,Groupe,Naughty boy,2018,Non,Non,9.0
